2015-05-18 19:47:24 status half-configured gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
2015-05-18 19:47:24 status installed gtk2-engines-sapwood 3.1.1.debian.10+0m5-1
2015-05-18 19:47:24 configure libhildon-1-0 2.1.34.debian.1-7 2.1.34.debian.1-7
2015-05-18 19:47:24 status unpacked libhildon-1-0 2.1.34.debian.1-7
2015-05-18 19:47:24 status half-configured libhildon-1-0 2.1.34.debian.1-7
2015-05-18 19:47:25 status installed libhildon-1-0 2.1.34.debian.1-7
2015-05-18 19:47:26 configure libhildonwm0 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-18 19:47:26 status unpacked libhildonwm0 1:2.0.19.debian.1-3
2015-05-18 19:47:26 status half-configured libhildonwm0 1:2.0.19.debian.1-3
2015-05-18 19:47:26 status installed libhildonwm0 1:2.0.19.debian.1-3
2015-05-18 19:47:26 configure libhildondesktop0 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-18 19:47:26 status unpacked libhildondesktop0 1:2.0.19.debian.1-3
2015-05-18 19:47:26 status half-configured libhildondesktop0 1:2.0.19.debian.1-3
2015-05-18 19:47:27 status installed libhildondesktop0 1:2.0.19.debian.1-3
2015-05-18 19:47:27 configure libosso-dbus-conf 2.16.debian.1-1 2.16.debian.1-1
2015-05-18 19:47:27 status unpacked libosso-dbus-conf 2.16.debian.1-1
2015-05-18 19:47:27 status unpacked libosso-dbus-conf 2.16.debian.1-1
2015-05-18 19:47:27 status half-configured libosso-dbus-conf 2.16.debian.1-1
2015-05-18 19:47:27 status installed libosso-dbus-conf 2.16.debian.1-1
2015-05-18 19:47:27 configure libosso1 2.16.debian.1-1 2.16.debian.1-1
2015-05-18 19:47:27 status unpacked libosso1 2.16.debian.1-1
2015-05-18 19:47:27 status half-configured libosso1 2.16.debian.1-1
2015-05-18 19:47:28 status installed libosso1 2.16.debian.1-1
2015-05-18 19:47:28 configure libhildonhelp0 2.0.5.debian.5-1+b1 2.0.5.debian.5-1+b1
2015-05-18 19:47:28 status unpacked libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-18 19:47:28 status half-configured libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-18 19:47:28 status installed libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-18 19:47:28 configure maemo-af-desktop-l10n-engb 3.0.r4480.debian-2 3.0.r4480.debian-2
2015-05-18 19:47:28 status unpacked maemo-af-desktop-l10n-engb 3.0.r4480.debian-2
2015-05-18 19:47:28 status half-configured maemo-af-desktop-l10n-engb 3.0.r4480.debian-2
2015-05-18 19:47:28 status installed maemo-af-desktop-l10n-engb 3.0.r4480.debian-2
2015-05-18 19:47:28 configure hildon-icons 2.1.debian-3 2.1.debian-3
2015-05-18 19:47:28 status unpacked hildon-icons 2.1.debian-3
2015-05-18 19:47:28 status half-configured hildon-icons 2.1.debian-3
2015-05-18 19:47:32 status installed hildon-icons 2.1.debian-3
2015-05-18 19:47:34 configure hildon-theme-plankton 4.14.5.debian.1-1 4.14.5.debian.1-1
2015-05-18 19:47:34 status unpacked hildon-theme-plankton 4.14.5.debian.1-1
2015-05-18 19:47:36 status half-configured hildon-theme-plankton 4.14.5.debian.1-1
2015-05-18 19:47:37 status installed hildon-theme-plankton 4.14.5.debian.1-1
2015-05-18 19:47:37 configure hildon-desktop 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status unpacked hildon-desktop 1:2.0.19.debian.1-3
2015-05-18 19:47:37 status half-configured hildon-desktop 1:2.0.19.debian.1-3
